True Label,Predicted Label,Test Scores (r2 or accuracy)
1,2,_
1,2,_
1,2,_
1,0,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,0,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,2,_
1,0,_
1,2,_
1,2,_
1,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
2,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,0,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,0,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
0,2,_
