Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,50.0000007451,2852043089901.049
_,_,_,50.0000007451,1695164977014.8655
_,_,_,50.0000007451,-24854601624035.234
_,_,_,50.0000007451,5642778935285.375
_,_,_,50.0000007451,5621896394394.868
_,_,_,50.0000007451,17983277558962.02
_,_,_,50.0000007451,18813688269420.44
_,_,_,50.0000007451,-4126642318316.691
_,_,_,50.0000007451,39801904542514.125
_,_,_,50.0000007451,18925798111472.535
_,_,_,50.0000007451,13896284772789.268
_,_,_,50.0000007451,20175107771684.523
_,_,_,50.0000007451,21119965687238.74
_,_,_,50.0000007451,-3334163483775.5728
_,_,_,51.2423880255,-33006212965360.66
_,_,_,150.0000022352,-10304769017731.78
_,_,_,150.0000022352,19452256410256.22
_,_,_,150.0000022352,-43695704630739.086
_,_,_,150.0000022352,-27096286600482.94
_,_,_,150.0000022352,48544376016205.1
_,_,_,150.0000022352,-6220678958014.025
_,_,_,150.0000022352,-2030708456314.2954
_,_,_,150.0000022352,-55681271395175.54
_,_,_,150.0000022352,-25257191960031.53
_,_,_,149.378808598,7036389840020.569
_,_,_,100.0000014901,19378219196705.688
_,_,_,100.0000014901,-16892315713066.748
_,_,_,100.0000014901,13016988865656.287
_,_,_,100.0000014901,41634415462271.97
_,_,_,100.0000014901,-3094063242909.225
_,_,_,100.0000014901,-48478025873765.96
_,_,_,100.0000014901,1141781255067.7874
_,_,_,100.0000014901,-30869923517987.344
_,_,_,100.0000014901,8785985302994.918
_,_,_,100.0000014901,-27849124165375.25
_,_,_,100.0000014901,33449572779780.89
_,_,_,100.0000014901,18011161234868.195
_,_,_,149.3751474346,70757762890073.12
_,_,_,150.0000022352,-2348038027088.645
_,_,_,150.0000022352,8415692353134.077
_,_,_,150.0000022352,-27797329077747.965
_,_,_,150.0000022352,-22842225645718.9
_,_,_,150.0000022352,-4685904922326.233
_,_,_,150.0000022352,23203068859808.14
_,_,_,150.0000022352,-4351856437872.8833
_,_,_,150.0000022352,-14806761601898.543
_,_,_,51.2497103554,-47345147926623.39
_,_,_,50.0000007451,3308477115311.2583
_,_,_,50.0000007451,15952558991484.375
_,_,_,50.0000007451,-3536022077204.141
_,_,_,50.0000007451,31199945540458.992
_,_,_,50.0000007451,13955626496493.465
_,_,_,50.0000007451,-17418378560278.906
_,_,_,50.0000007451,-8486254797507.752
_,_,_,50.0000007451,-6545712008572.89
_,_,_,50.0000007451,-21775412519535.16
_,_,_,50.0000007451,-13275016378594.525
_,_,_,50.0000007451,22016534145158.508
_,_,_,50.0000007451,-27681148471964.582
_,_,_,50.0000007451,29291778456089.645
_,_,_,50.0000007451,-5885734027261.663
_,_,_,99.3751466773,6185331276204.218
_,_,_,100.0000014901,-19869175156607.707
_,_,_,100.0000014901,18309516400294.45
_,_,_,100.0000014901,-18947836705125.46
_,_,_,100.0000014901,-14996222713213.213
_,_,_,100.0000014901,2519474585385.5566
_,_,_,100.0000014901,-5317590136041.055
_,_,_,100.0000014901,14452680529773.568
_,_,_,100.0000014901,4954675611853.889
_,_,_,100.0000014901,10008850494146.521
_,_,_,100.0000014901,-6197000010747.104
_,_,_,100.0000014901,-26630145417956.855
_,_,_,98.7576142035,-9100209911765.611
_,_,_,0.0,-12438591235260.354
_,_,_,0.0,6318334152766.328
_,_,_,49.3751459369,53951368622544.23
_,_,_,50.0000007451,19439090632972.8
_,_,_,50.0000007451,-20618375080795.22
_,_,_,50.0000007451,47110796312026.15
_,_,_,50.0000007451,-44621243253868.336
_,_,_,50.0000007451,6427423619806.96
_,_,_,50.0000007451,33458511402463.047
_,_,_,50.0000007451,8370765370015.163
_,_,_,50.0000007451,2367883247946.565
_,_,_,50.0000007451,-26205876933843.34
_,_,_,50.0000007451,9118841106100.916
_,_,_,50.0000007451,-4223731494896.042
_,_,_,50.0000007451,-17898341435530.324
_,_,_,50.0000007451,10073496920746.803
_,_,_,50.0000007451,9160633250011.764
_,_,_,148.7502926096,-75941789551183.47
_,_,_,150.0000022352,-5963015025203.952
_,_,_,150.0000022352,37646701481154.97
_,_,_,150.0000022352,-8738436125216.116
_,_,_,150.0000022352,45667625917832.125
_,_,_,150.0000022352,-10640381141442.092
_,_,_,150.0000022352,-18819149029813.76
_,_,_,150.0000022352,27811835606544.527
_,_,_,150.0000022352,-21330451906617.863
_,_,_,150.0000022352,-7413968217241.279
_,_,_,100.6248563059,-46030488521197.41
_,_,_,100.0000014901,-8954637441963.361
_,_,_,100.0000014901,46094356497134.61
_,_,_,100.0000014901,24783635864968.2
_,_,_,100.0000014901,55306305436940.15
_,_,_,100.0000014901,-27383270905327.605
_,_,_,100.0000014901,-8007354650620.893
_,_,_,100.0000014901,-21093952387010.85
_,_,_,100.0000014901,37595121474268.35
_,_,_,100.0000014901,2114903731400.9768
_,_,_,100.0000014901,2724001021335.3145
_,_,_,100.0000014901,-46464792733910.22
_,_,_,99.3788078438,51049493080977.73
_,_,_,50.0000007451,18422824898759.91
_,_,_,50.0000007451,13199728152599.867
_,_,_,50.0000007451,-38624482337895.95
_,_,_,50.0000007451,-33180049948147.637
_,_,_,50.0000007451,8216450113711.398
_,_,_,50.0000007451,-21323884322946.355
_,_,_,50.0000007451,11237353093627.133
_,_,_,50.0000007451,102010084995602.0
_,_,_,50.0000007451,-28949436319471.98
_,_,_,50.0000007451,-36810124196796.33
_,_,_,50.0000007451,-71359930539428.52
_,_,_,50.0000007451,15234422701116.24
_,_,_,50.0000007451,-11251617716510.582
_,_,_,50.0000007451,18347565491484.953
_,_,_,51.2423880255,3670803916859.8955
_,_,_,150.0000022352,-490797508729.9059
_,_,_,150.0000022352,35163482888770.484
_,_,_,150.0000022352,32235153411635.434
_,_,_,150.0000022352,6590334383947.995
_,_,_,150.0000022352,-15155621577929.477
_,_,_,150.0000022352,32534331546697.27
_,_,_,150.0000022352,-8857203043735.82
_,_,_,150.0000022352,78814172927194.25
_,_,_,150.0000022352,-1075329959117.1835
_,_,_,149.378808598,-60340999455940.06
_,_,_,100.0000014901,-1196352170640.813
_,_,_,100.0000014901,-18237338148237.24
_,_,_,100.0000014901,88118582479571.1
_,_,_,100.0000014901,33695463539141.8
_,_,_,100.0000014901,21136944550467.816
_,_,_,100.0000014901,-1073615632507.7698
_,_,_,100.0000014901,-12440392656931.262
_,_,_,100.0000014901,14948947958745.76
_,_,_,100.0000014901,-46414361137936.53
_,_,_,100.0000014901,3400386866380.993
_,_,_,100.0000014901,-22114139527659.324
_,_,_,100.0000014901,5624271605642.408
_,_,_,149.3751474346,-18993334096167.17
_,_,_,150.0000022352,-2634138159737.6006
_,_,_,150.0000022352,-53593331579537.98
_,_,_,150.0000022352,-54035459985180.43
_,_,_,150.0000022352,6619571277796.367
_,_,_,150.0000022352,-3225825619960.0283
_,_,_,150.0000022352,-9767589634605.09
_,_,_,150.0000022352,-64034327744617.92
_,_,_,150.0000022352,-38128262821965.28
_,_,_,150.0000022352,-35094454947425.773
_,_,_,51.2497103554,-4253806344589.461
_,_,_,50.0000007451,6471976796146.096
_,_,_,50.0000007451,-11091153281628.09
_,_,_,50.0000007451,-17769248732016.477
_,_,_,50.0000007451,-12875143495018.148
_,_,_,50.0000007451,24649019664779.83
_,_,_,50.0000007451,-9180117931052.898
_,_,_,50.0000007451,-7863197974395.614
_,_,_,50.0000007451,-37532807177269.07
_,_,_,50.0000007451,39699247738083.836
_,_,_,50.0000007451,-16715499262943.355
_,_,_,50.0000007451,20739429843014.277
_,_,_,50.0000007451,22016825894186.516
_,_,_,50.0000007451,-16911167372581.404
_,_,_,50.0000007451,54323478226502.35
_,_,_,99.3751466773,-10832332073102.363
_,_,_,100.0000014901,-18409108889590.125
