Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,50.0000007451,12000440468728.252
_,_,_,50.0000007451,-7117818270263.037
_,_,_,50.0000007451,15033367507465.678
_,_,_,51.2423880255,4364482775203.9263
_,_,_,150.0000022352,18291824629578.895
_,_,_,150.0000022352,-8854761664965.475
_,_,_,150.0000022352,-21304067520163.477
_,_,_,150.0000022352,5398892398502.86
_,_,_,150.0000022352,-9511038616515.303
_,_,_,150.0000022352,-1774463834382.317
_,_,_,150.0000022352,-16642952488813.223
_,_,_,150.0000022352,18431913051927.64
_,_,_,150.0000022352,-12310877483805.771
_,_,_,149.378808598,677085583748.6061
_,_,_,100.0000014901,16309185028734.643
_,_,_,100.0000014901,1565869520045.191
_,_,_,100.0000014901,-13243223470146.9
_,_,_,100.0000014901,-21757386627253.85
_,_,_,100.0000014901,-13313872718125.168
_,_,_,100.0000014901,-16133133722872.445
_,_,_,100.0000014901,-11605826624148.889
_,_,_,100.0000014901,952906608001.0713
_,_,_,100.0000014901,-994565905905.7621
_,_,_,100.0000014901,-11904125913046.633
_,_,_,100.0000014901,-3971655237911.5117
_,_,_,100.0000014901,8116177561477.332
_,_,_,149.3751474346,-5074144169827.47
_,_,_,150.0000022352,-520574308374.4565
_,_,_,150.0000022352,12716049946123.334
_,_,_,150.0000022352,12204351215046.873
_,_,_,150.0000022352,-20536555082183.742
_,_,_,150.0000022352,1870233836156.978
_,_,_,150.0000022352,28245517749450.523
_,_,_,150.0000022352,7917765917471.599
_,_,_,150.0000022352,-19620889986925.785
_,_,_,150.0000022352,-5632801832809.891
_,_,_,51.2497103554,10286882918147.268
_,_,_,50.0000007451,13719369537419.643
_,_,_,50.0000007451,9158674879769.85
_,_,_,50.0000007451,-8760625347109.6875
_,_,_,50.0000007451,-9718351958071.354
_,_,_,50.0000007451,6318251155050.285
_,_,_,50.0000007451,14363863940507.252
_,_,_,50.0000007451,672538016239.1871
_,_,_,50.0000007451,8518538635721.623
_,_,_,50.0000007451,-14017170975602.686
_,_,_,50.0000007451,4359013179124.5654
_,_,_,50.0000007451,-18486325720156.426
_,_,_,50.0000007451,-6253067716855.149
_,_,_,50.0000007451,17513593523895.197
_,_,_,50.0000007451,9424651614608.07
_,_,_,99.3751466773,3225942512596.823
_,_,_,100.0000014901,2339564003941.104
_,_,_,100.0000014901,6263651943632.873
_,_,_,100.0000014901,4041282561815.618
_,_,_,100.0000014901,4790457229748.664
_,_,_,100.0000014901,-19124687916694.363
_,_,_,100.0000014901,-25454996497571.21
_,_,_,100.0000014901,-10480636192763.885
_,_,_,100.0000014901,-228860376492.73724
_,_,_,100.0000014901,153806010258.8382
_,_,_,100.0000014901,21347246790864.125
_,_,_,100.0000014901,2709111544.754219
_,_,_,98.7576142035,5684851740418.49
_,_,_,0.0,5774572587448.152
_,_,_,0.0,2449418691339.7397
_,_,_,49.3751459369,3557880810745.572
_,_,_,50.0000007451,482532565357.2066
_,_,_,50.0000007451,-4095883016418.4077
_,_,_,50.0000007451,3585235932742.7754
_,_,_,50.0000007451,13607651151561.357
_,_,_,50.0000007451,11340038085952.844
_,_,_,50.0000007451,-5763851857869.854
_,_,_,50.0000007451,3301817282421.148
_,_,_,50.0000007451,-22401634805626.84
_,_,_,50.0000007451,-23972033092171.22
_,_,_,50.0000007451,15096598710595.729
_,_,_,50.0000007451,1490856463966.521
_,_,_,50.0000007451,428876629303.7808
_,_,_,50.0000007451,-419460704145.8642
_,_,_,50.0000007451,19211415676817.31
_,_,_,150.0000022352,-25590723166575.75
_,_,_,150.0000022352,-4849338920346.837
_,_,_,150.0000022352,10431099000269.107
_,_,_,150.0000022352,-4338327234483.5938
_,_,_,150.0000022352,14252124897264.678
_,_,_,150.0000022352,-10731462296680.232
_,_,_,150.0000022352,-6323469158203.307
_,_,_,150.0000022352,-16039815784413.455
_,_,_,150.0000022352,-862021564755.2899
_,_,_,100.6248563059,15880729364669.73
_,_,_,100.0000014901,3681898214085.436
_,_,_,100.0000014901,-3663797397748.021
_,_,_,100.0000014901,-7289027056779.346
_,_,_,100.0000014901,-25262560406510.78
_,_,_,100.0000014901,-3685155517595.408
_,_,_,100.0000014901,-3274597230500.3413
_,_,_,100.0000014901,11162935202042.53
_,_,_,100.0000014901,4568952716588.596
_,_,_,100.0000014901,10781688131846.6
_,_,_,100.0000014901,-8777768317221.088
_,_,_,100.0000014901,-4305082763989.234
_,_,_,99.3788078438,14964104750376.438
_,_,_,50.0000007451,5601455853707.762
_,_,_,50.0000007451,4692268896364.057
_,_,_,50.0000007451,-1346145173120.7188
_,_,_,50.0000007451,8101155000659.985
_,_,_,50.0000007451,-3877073245122.736
_,_,_,50.0000007451,32239823875773.945
_,_,_,50.0000007451,447277763243.4224
_,_,_,50.0000007451,10115891194660.818
_,_,_,50.0000007451,-1519055627931.2686
_,_,_,50.0000007451,28310764380653.758
_,_,_,50.0000007451,-5855288795461.412
_,_,_,50.0000007451,8395261050475.732
_,_,_,50.0000007451,-1522084905144.0344
_,_,_,50.0000007451,-14005466708942.385
_,_,_,51.2423880255,3245052460340.509
_,_,_,150.0000022352,10976180803498.414
_,_,_,150.0000022352,-1749268405006.7158
_,_,_,150.0000022352,-11363997313832.457
_,_,_,150.0000022352,-1011597558515.3752
_,_,_,150.0000022352,30198709276326.555
_,_,_,150.0000022352,-19073550130537.168
_,_,_,150.0000022352,10053620425153.375
_,_,_,150.0000022352,6206082015039.929
_,_,_,150.0000022352,2466825959796.6216
_,_,_,149.378808598,10519295467787.8
_,_,_,100.0000014901,18041508185547.652
_,_,_,100.0000014901,6824502753342.902
_,_,_,100.0000014901,126692849887.87555
_,_,_,100.0000014901,2412375960797.5205
_,_,_,100.0000014901,-7039710908230.724
_,_,_,100.0000014901,4722278840032.379
_,_,_,100.0000014901,-2198873209701.7598
_,_,_,100.0000014901,-16579742074867.975
_,_,_,100.0000014901,-10970802491003.32
_,_,_,100.0000014901,-7459914196336.935
_,_,_,100.0000014901,4460368703405.908
_,_,_,100.0000014901,3546114846613.863
_,_,_,149.3751474346,-13714502102549.213
_,_,_,150.0000022352,-8755586556575.083
_,_,_,150.0000022352,5744230193129.438
_,_,_,150.0000022352,-2205488193649.289
_,_,_,150.0000022352,11466642251939.693
_,_,_,150.0000022352,5205607662345.885
_,_,_,150.0000022352,-2043769584782.3594
_,_,_,150.0000022352,1307757838904.1733
_,_,_,150.0000022352,1443777574561.2466
_,_,_,150.0000022352,-3343023427775.984
_,_,_,51.2497103554,169057119035.11688
_,_,_,50.0000007451,9638409250104.057
_,_,_,50.0000007451,15950170133682.447
_,_,_,50.0000007451,-6850579888414.969
_,_,_,50.0000007451,3158318970684.0464
_,_,_,50.0000007451,-8466851514803.846
_,_,_,50.0000007451,10500943700354.453
_,_,_,50.0000007451,13282924892833.322
_,_,_,50.0000007451,3256095549791.4775
_,_,_,50.0000007451,-9492125842407.219
_,_,_,50.0000007451,-21829558114113.402
_,_,_,50.0000007451,1468655123806.354
_,_,_,50.0000007451,-201421713169.9677
_,_,_,50.0000007451,913571691177.5437
_,_,_,50.0000007451,5543675883196.0625
_,_,_,99.3751466773,-10834167428946.127
_,_,_,100.0000014901,3026767690944.375
_,_,_,100.0000014901,-6720814937655.996
_,_,_,100.0000014901,-19118711599830.37
_,_,_,100.0000014901,-12704159815166.62
_,_,_,100.0000014901,10724269605656.268
_,_,_,100.0000014901,-15617370747903.432
_,_,_,100.0000014901,-19254622494836.188
_,_,_,100.0000014901,-3467122822838.708
_,_,_,100.0000014901,-6023320751221.968
_,_,_,100.0000014901,-2354490225491.622
_,_,_,100.0000014901,-8269198191779.732
_,_,_,98.7576142035,-18759723449637.668
_,_,_,0.0,-8466718437070.568
_,_,_,0.0,-2240632511417.778
_,_,_,49.3751459369,-13120828000402.973
_,_,_,50.0000007451,9979742577489.082
_,_,_,50.0000007451,10732583759585.932
_,_,_,50.0000007451,-2714262793756.6514
_,_,_,50.0000007451,-4735372384314.393
_,_,_,50.0000007451,6851620987792.493
_,_,_,50.0000007451,-4815085302524.975
_,_,_,50.0000007451,-7471631653644.173
_,_,_,50.0000007451,-10988360891990.773
_,_,_,50.0000007451,-4543715373411.12
_,_,_,50.0000007451,-13795620887474.281
_,_,_,50.0000007451,-3299173152702.228
_,_,_,50.0000007451,-19780011280733.688
_,_,_,50.0000007451,1498025118013.1357
_,_,_,50.0000007451,-11006578642072.57
_,_,_,148.7502926096,-2320656131349.0605
_,_,_,150.0000022352,-2193510245480.6704
_,_,_,150.0000022352,7421381899851.253
_,_,_,150.0000022352,4690980784745.853
_,_,_,150.0000022352,22572189624179.13
_,_,_,150.0000022352,20404201435947.05
_,_,_,150.0000022352,14840546960231.18
_,_,_,150.0000022352,5569958492133.019
_,_,_,150.0000022352,-16351302868726.004
_,_,_,150.0000022352,-21337297412533.582
_,_,_,100.6248563059,-4798595482338.4
_,_,_,100.0000014901,8281224490340.237
_,_,_,100.0000014901,-1338462701236.2295
_,_,_,100.0000014901,10960247267076.479
_,_,_,100.0000014901,-6463074639422.215
_,_,_,100.0000014901,6196725706422.435
_,_,_,100.0000014901,20491161819358.27
_,_,_,100.0000014901,9283104678542.285
_,_,_,100.0000014901,-14429710641326.52
_,_,_,100.0000014901,13966226510113.73
_,_,_,100.0000014901,10634147593830.062
_,_,_,100.0000014901,19150868067787.59
_,_,_,99.3788078438,36845248924261.125
_,_,_,50.0000007451,-9504575575447.416
_,_,_,50.0000007451,-4727080763767.407
_,_,_,50.0000007451,-11012143217007.756
_,_,_,50.0000007451,-7634024376217.543
_,_,_,50.0000007451,-9537924085947.512
_,_,_,50.0000007451,-18942604517175.14
_,_,_,50.0000007451,37418679728072.27
_,_,_,50.0000007451,-6521020819011.129
_,_,_,50.0000007451,-11952002697070.768
_,_,_,50.0000007451,-4621352500162.739
_,_,_,50.0000007451,-14028049875220.68
_,_,_,50.0000007451,33209260192718.52
_,_,_,50.0000007451,15712072849277.896
_,_,_,51.2423880255,-7020369752046.816
_,_,_,150.0000022352,9623014085178.842
_,_,_,150.0000022352,-13188333004.24229
_,_,_,150.0000022352,1380838373557.694
_,_,_,150.0000022352,3515544287398.3667
_,_,_,150.0000022352,8818225830473.953
_,_,_,150.0000022352,-3642365887218.3306
_,_,_,150.0000022352,28074869131340.777
_,_,_,150.0000022352,5564213662399.836
_,_,_,149.378808598,11637582282476.459
_,_,_,100.0000014901,3112447600020.562
_,_,_,100.0000014901,1983060834059.0527
_,_,_,100.0000014901,-12689029406693.277
_,_,_,100.0000014901,-2924415856174.0356
_,_,_,100.0000014901,4551039012402.123
_,_,_,100.0000014901,-4191545436511.8687
_,_,_,100.0000014901,-4494715857849.786
_,_,_,100.0000014901,-8172439086408.798
_,_,_,100.0000014901,-3839746069391.1855
_,_,_,100.0000014901,236285123847.6973
_,_,_,100.0000014901,1242201743199.2266
_,_,_,100.0000014901,-8111261835239.035
_,_,_,149.3751474346,-17358755240314.248
_,_,_,150.0000022352,728223483668.0634
_,_,_,150.0000022352,9466038870412.35
_,_,_,150.0000022352,-15125614935238.707
_,_,_,150.0000022352,-10710559054858.473
_,_,_,150.0000022352,5556045212975.765
_,_,_,150.0000022352,-16898991347457.42
_,_,_,150.0000022352,-18210852180000.992
_,_,_,150.0000022352,-43995539938313.37
_,_,_,150.0000022352,-10355238222633.637
_,_,_,51.2497103554,8808666131697.193
_,_,_,50.0000007451,-6513933023437.533
_,_,_,50.0000007451,18619198284873.207
_,_,_,50.0000007451,4452641491933.646
_,_,_,50.0000007451,-6286333406259.815
_,_,_,50.0000007451,21539786180906.793
_,_,_,50.0000007451,-4018080210218.156
_,_,_,50.0000007451,-5700512707872.496
_,_,_,50.0000007451,-20234802773216.316
_,_,_,50.0000007451,-19069315284435.73
_,_,_,50.0000007451,14423947687101.037
_,_,_,50.0000007451,-487446604502.5714
_,_,_,50.0000007451,309100158905.6073
_,_,_,50.0000007451,19312006209919.16
_,_,_,99.3751466773,-3768693077665.5806
_,_,_,100.0000014901,11708944229316.486
_,_,_,100.0000014901,-3705817063154.756
_,_,_,100.0000014901,48951052677.03969
_,_,_,100.0000014901,14200622347423.926
_,_,_,100.0000014901,3870688231061.782
_,_,_,100.0000014901,3830105583048.8584
_,_,_,100.0000014901,-1268842583785.1475
_,_,_,100.0000014901,18636028203418.07
_,_,_,100.0000014901,3547149743199.577
_,_,_,100.0000014901,4635687741523.811
_,_,_,100.0000014901,-17456624628986.078
_,_,_,98.7576142035,5769204965755.29
_,_,_,0.0,9397230456047.705
_,_,_,0.0,-1192224591565.1511
_,_,_,49.3751459369,10450168097038.348
_,_,_,50.0000007451,16825109874386.271
_,_,_,50.0000007451,4909435105182.718
_,_,_,50.0000007451,3475557054714.078
_,_,_,50.0000007451,-10914554292001.777
_,_,_,50.0000007451,14115921493257.375
_,_,_,50.0000007451,5258831159195.5
_,_,_,50.0000007451,-5173715337295.602
_,_,_,50.0000007451,-4270454242314.411
_,_,_,50.0000007451,16182688037035.344
_,_,_,50.0000007451,13636583137167.662
_,_,_,50.0000007451,-9005116284360.06
_,_,_,50.0000007451,11323484101769.13
_,_,_,50.0000007451,-21049578210723.68
_,_,_,148.7502926096,14001341885861.793
_,_,_,150.0000022352,5881805443529.496
_,_,_,150.0000022352,16483549181531.6
_,_,_,150.0000022352,-22317190275158.816
_,_,_,150.0000022352,2301134196248.118
_,_,_,150.0000022352,23903798664368.97
_,_,_,150.0000022352,7225717214784.354
_,_,_,150.0000022352,-3046627705477.705
_,_,_,150.0000022352,-8585304005771.016
_,_,_,150.0000022352,-12182615725249.312
_,_,_,100.6248563059,6572908112334.475
_,_,_,100.0000014901,-8196199378387.604
_,_,_,100.0000014901,-1780949877020.373
_,_,_,100.0000014901,30217390487089.42
_,_,_,100.0000014901,-1643467253055.4658
_,_,_,100.0000014901,-3551449470760.8594
_,_,_,100.0000014901,-20909626287872.695
_,_,_,100.0000014901,-4078647015768.507
_,_,_,100.0000014901,-3162158519742.6104
_,_,_,100.0000014901,-5212228669716.34
_,_,_,100.0000014901,10468665436169.062
_,_,_,100.0000014901,-20570004737881.34
_,_,_,99.3788078438,13653022422127.852
_,_,_,50.0000007451,6076441012299.635
_,_,_,50.0000007451,-16654357837624.656
_,_,_,50.0000007451,-11491867322206.756
_,_,_,50.0000007451,6032677139612.223
_,_,_,50.0000007451,2430963456612.857
_,_,_,50.0000007451,-10045890384713.148
_,_,_,50.0000007451,17577868282656.746
_,_,_,50.0000007451,-24582920235056.49
_,_,_,50.0000007451,-17512729156123.145
_,_,_,50.0000007451,-5650927156385.261
_,_,_,50.0000007451,-4635118356573.434
_,_,_,50.0000007451,8216502570200.978
_,_,_,50.0000007451,-16088065505996.648
_,_,_,50.0000007451,-5561129568036.228
_,_,_,51.2423880255,-19618574763395.996
_,_,_,150.0000022352,1440978007132.4834
_,_,_,150.0000022352,-5601351417260.914
_,_,_,150.0000022352,-24900204724220.605
_,_,_,150.0000022352,-23085679126507.168
_,_,_,150.0000022352,825723293110.6761
_,_,_,150.0000022352,-29238937097103.914
_,_,_,150.0000022352,1013162304775.1608
_,_,_,150.0000022352,-1277345749890.886
_,_,_,150.0000022352,-1612936882282.4927
_,_,_,149.378808598,-1495804701535.851
_,_,_,100.0000014901,-1804563425885.769
_,_,_,100.0000014901,43143257080215.65
_,_,_,100.0000014901,1920314017856.8643
_,_,_,100.0000014901,-268881191058.5665
_,_,_,100.0000014901,6577946816019.054
_,_,_,100.0000014901,42413474267.50282
_,_,_,100.0000014901,-13567010719164.568
