Mean Score,Participant Mean Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,50.0000007451,22482834764442.21
_,_,_,50.0000007451,-2433454751544.9644
_,_,_,50.0000007451,35897799458369.08
_,_,_,50.0000007451,29175213528480.348
_,_,_,50.0000007451,3978122579308.8335
_,_,_,50.0000007451,-2162473604741.4436
_,_,_,50.0000007451,63763080645920.9
_,_,_,50.0000007451,-32943887331320.95
_,_,_,150.0000022352,-25126145384842.03
_,_,_,150.0000022352,-18357518407113.668
_,_,_,150.0000022352,9179440613077.55
_,_,_,150.0000022352,34719564213972.71
_,_,_,150.0000022352,11309164096609.367
_,_,_,150.0000022352,-44803346932636.664
_,_,_,150.0000022352,32236585914223.44
_,_,_,150.0000022352,-4054987017917.978
_,_,_,150.0000022352,-22654058740290.97
_,_,_,100.6248563059,-82764673675904.55
_,_,_,100.0000014901,-27542769394405.957
_,_,_,100.0000014901,8029641953183.076
_,_,_,100.0000014901,13210485169570.791
_,_,_,100.0000014901,-881403995004.9727
_,_,_,100.0000014901,4912256557831.575
_,_,_,100.0000014901,24933615834287.28
_,_,_,100.0000014901,23310362062478.953
_,_,_,100.0000014901,30752335427893.656
_,_,_,100.0000014901,-24142084722873.223
_,_,_,100.0000014901,-18694847978432.246
_,_,_,100.0000014901,17366417872092.734
_,_,_,99.3788078438,-6591055947272.531
_,_,_,50.0000007451,21570064365128.598
_,_,_,50.0000007451,-5017901993508.454
_,_,_,50.0000007451,1099705670380.3213
_,_,_,50.0000007451,-16116622532258.49
_,_,_,50.0000007451,1423063150943.2656
_,_,_,50.0000007451,66044576137277.195
_,_,_,50.0000007451,23144466294244.523
_,_,_,50.0000007451,-9600679401325.113
_,_,_,50.0000007451,22152066699298.836
_,_,_,50.0000007451,-13278828642701.445
_,_,_,50.0000007451,20557329047178.062
_,_,_,50.0000007451,-16305103454575.957
_,_,_,50.0000007451,-22753019481786.395
_,_,_,50.0000007451,28978838251942.89
_,_,_,51.2423880255,30021939294133.27
_,_,_,150.0000022352,25835715886923.375
_,_,_,150.0000022352,-10449774831399.191
_,_,_,150.0000022352,-1507779493368.6147
_,_,_,150.0000022352,-16722789215825.848
_,_,_,150.0000022352,43633658468198.16
_,_,_,150.0000022352,16768741023297.355
_,_,_,150.0000022352,-38779440147721.24
_,_,_,150.0000022352,-72188684550126.98
_,_,_,150.0000022352,-29889599239254.547
_,_,_,149.378808598,-12493906606890.592
_,_,_,100.0000014901,16444632846839.86
_,_,_,100.0000014901,-10340609930134.072
_,_,_,100.0000014901,-56398410416644.805
_,_,_,100.0000014901,-58316903835162.445
_,_,_,100.0000014901,-4214374629682.679
_,_,_,100.0000014901,10778078044597.96
_,_,_,100.0000014901,-108393619346378.94
_,_,_,100.0000014901,8196850118081.905
_,_,_,100.0000014901,-25304730770372.348
_,_,_,100.0000014901,23707244704105.613
_,_,_,100.0000014901,26014950472234.246
_,_,_,100.0000014901,756480461243.1973
_,_,_,149.3751474346,-38186498890792.46
_,_,_,150.0000022352,12232809835348.793
_,_,_,150.0000022352,4676659535276.055
_,_,_,150.0000022352,5645914168994.975
_,_,_,150.0000022352,4749582200626.004
_,_,_,150.0000022352,44262841192255.19
_,_,_,150.0000022352,-65280146995404.17
_,_,_,150.0000022352,-9677871202250.996
_,_,_,150.0000022352,33108879690205.727
_,_,_,150.0000022352,7523380650844.514
_,_,_,51.2497103554,-12586743308692.363
_,_,_,50.0000007451,-337014630502.398
_,_,_,50.0000007451,28471028606912.02
_,_,_,50.0000007451,11004909992414.428
_,_,_,50.0000007451,32360310871137.99
_,_,_,50.0000007451,41085078850626.4
_,_,_,50.0000007451,23102355957765.094
_,_,_,50.0000007451,3316717170579.7104
_,_,_,50.0000007451,-9027164672717.428
_,_,_,50.0000007451,-33181170648489.754
_,_,_,50.0000007451,15830880000491.154
_,_,_,50.0000007451,23735973527150.49
_,_,_,50.0000007451,36922864751883.18
_,_,_,50.0000007451,-5328121377033.282
_,_,_,50.0000007451,-9798319669281.81
_,_,_,99.3751466773,-10213223920025.646
_,_,_,100.0000014901,-11954488720464.781
_,_,_,100.0000014901,48721711592771.02
_,_,_,100.0000014901,-17511660749091.162
_,_,_,100.0000014901,24127427561271.977
_,_,_,100.0000014901,-2113631659631.7559
_,_,_,100.0000014901,16175408353976.406
_,_,_,100.0000014901,-44180993341263.875
_,_,_,100.0000014901,-11488221066640.146
_,_,_,100.0000014901,8039720642002.251
_,_,_,100.0000014901,59811286542493.5
_,_,_,100.0000014901,-7457484771573.357
_,_,_,98.7576142035,-15081436458595.854
_,_,_,0.0,34212944297510.97
_,_,_,0.0,-47846227272341.03
_,_,_,49.3751459369,-52860086063591.37
_,_,_,50.0000007451,-107536206198583.62
_,_,_,50.0000007451,24444625082973.06
_,_,_,50.0000007451,8802130378707.162
_,_,_,50.0000007451,-31234898240626.164
_,_,_,50.0000007451,-9137780730868.178
_,_,_,50.0000007451,-23903126703867.24
_,_,_,50.0000007451,-16551877132163.203
_,_,_,50.0000007451,14648372246664.52
_,_,_,50.0000007451,6951145697641.871
_,_,_,50.0000007451,5614357602537.163
_,_,_,50.0000007451,11886400362013.941
_,_,_,50.0000007451,-27295261762031.277
_,_,_,50.0000007451,-9522777860673.633
_,_,_,50.0000007451,-16758499360403.816
_,_,_,148.7502926096,76935190020338.1
_,_,_,150.0000022352,69235352089098.305
_,_,_,150.0000022352,-10031711795384.912
_,_,_,150.0000022352,-30625378933831.844
_,_,_,150.0000022352,-6715164639301.144
_,_,_,150.0000022352,-16829046535789.13
_,_,_,150.0000022352,-69148063244689.65
_,_,_,150.0000022352,21003045088888.08
_,_,_,150.0000022352,-1676597866887.742
_,_,_,150.0000022352,1022676942602.3767
_,_,_,100.6248563059,15648389377961.09
_,_,_,100.0000014901,-24914697062021.67
_,_,_,100.0000014901,-9935728488781.893
_,_,_,100.0000014901,-59320254820681.15
_,_,_,100.0000014901,15478697712580.463
_,_,_,100.0000014901,46071597821368.14
_,_,_,100.0000014901,-20571342756154.742
_,_,_,100.0000014901,14122393106984.682
_,_,_,100.0000014901,-1985541626190.0571
_,_,_,100.0000014901,-95365412022423.02
_,_,_,100.0000014901,7522199005015.067
_,_,_,100.0000014901,39194743047274.02
_,_,_,99.3788078438,7719027004487.622
_,_,_,50.0000007451,16567436992244.863
_,_,_,50.0000007451,3276594775772.9478
_,_,_,50.0000007451,-6872885062265.667
_,_,_,50.0000007451,45616793861099.43
_,_,_,50.0000007451,23078258008238.926
_,_,_,50.0000007451,1734427088873.0986
_,_,_,50.0000007451,-7236023815227.156
_,_,_,50.0000007451,23532165127885.54
_,_,_,50.0000007451,76562527110487.0
_,_,_,50.0000007451,858414397940.7426
_,_,_,50.0000007451,34641033194970.06
_,_,_,50.0000007451,-3097867420224.69
