Mean Score,Test Scores,Most common best Parameter,True Label,Predicted Label
_,_,_,51.2497103554,11042739818598.953
_,_,_,50.0000007451,-11256699951244.525
_,_,_,50.0000007451,-58092450059166.516
_,_,_,50.0000007451,3066100832507.8403
_,_,_,50.0000007451,-6284499428692.768
_,_,_,50.0000007451,-21293410585038.59
_,_,_,50.0000007451,-31147419042226.996
_,_,_,50.0000007451,-1222667050580.5774
_,_,_,50.0000007451,32506190717487.836
_,_,_,50.0000007451,20703725296442.664
_,_,_,50.0000007451,-8985996022491.469
_,_,_,50.0000007451,40537808645006.69
_,_,_,50.0000007451,8049985687529.878
_,_,_,50.0000007451,-33578088696477.984
_,_,_,50.0000007451,30305642935208.094
_,_,_,99.3751466773,-12498878127516.281
_,_,_,100.0000014901,41279101392536.94
_,_,_,100.0000014901,-267170487268.40063
_,_,_,100.0000014901,-9431822478825.262
_,_,_,100.0000014901,-16223221351211.527
_,_,_,100.0000014901,-10772219089263.916
_,_,_,100.0000014901,-65165784945485.21
_,_,_,100.0000014901,-29516384204388.06
_,_,_,100.0000014901,33783049658198.6
_,_,_,100.0000014901,63502344482277.74
_,_,_,100.0000014901,-4878774533451.552
_,_,_,100.0000014901,-12328788406572.645
_,_,_,98.7576142035,47168407650740.78
_,_,_,0.0,4552519258560.662
_,_,_,0.0,-3406857354368.7026
_,_,_,49.3751459369,-30731279154806.883
_,_,_,50.0000007451,-2562778896462.806
_,_,_,50.0000007451,14455570041457.873
_,_,_,50.0000007451,-24258785509612.965
_,_,_,50.0000007451,-23092356726379.547
_,_,_,50.0000007451,-13502185473449.26
_,_,_,50.0000007451,13957953026354.1
_,_,_,50.0000007451,81451571306777.77
_,_,_,50.0000007451,-68519819486675.8
_,_,_,50.0000007451,-30526665367853.707
_,_,_,50.0000007451,-1286468374077.361
_,_,_,50.0000007451,-17635436305361.53
_,_,_,50.0000007451,8236916307068.349
_,_,_,50.0000007451,36861898165718.27
_,_,_,50.0000007451,-24621339584576.074
_,_,_,148.7502926096,-21704506363882.35
_,_,_,150.0000022352,48815406566366.484
_,_,_,150.0000022352,-8452483302374.84
_,_,_,150.0000022352,12129392513439.213
_,_,_,150.0000022352,49205471846648.3
_,_,_,150.0000022352,-56423477049691.05
_,_,_,150.0000022352,-18114263855036.188
_,_,_,150.0000022352,6692857383471.857
_,_,_,150.0000022352,18125509380610.902
_,_,_,150.0000022352,8036641543277.1
_,_,_,100.6248563059,-19271475313224.49
_,_,_,100.0000014901,-14611683810222.062
_,_,_,100.0000014901,27028267365041.227
_,_,_,100.0000014901,11565741270130.48
_,_,_,100.0000014901,78508197134585.25
_,_,_,100.0000014901,36962984466101.77
_,_,_,100.0000014901,-34581588202429.207
_,_,_,100.0000014901,-3437758658469.7603
_,_,_,100.0000014901,71929483000138.52
_,_,_,100.0000014901,-9504898450889.037
_,_,_,100.0000014901,-3283952786983.2607
_,_,_,100.0000014901,-6405405028887.623
_,_,_,99.3788078438,19687253381912.555
_,_,_,50.0000007451,25778578509329.875
_,_,_,50.0000007451,2685717026395.684
_,_,_,50.0000007451,52258988944172.48
_,_,_,50.0000007451,17339818489396.89
_,_,_,50.0000007451,-38077134366422.42
_,_,_,50.0000007451,-4696802910839.503
_,_,_,50.0000007451,-1434987993263.975
_,_,_,50.0000007451,30695771356934.332
_,_,_,50.0000007451,29047856679002.59
_,_,_,50.0000007451,-17196309128975.832
_,_,_,50.0000007451,50910350531431.69
_,_,_,50.0000007451,-64068577066382.99
_,_,_,50.0000007451,27380945166215.938
_,_,_,50.0000007451,-29510779695604.61
_,_,_,51.2423880255,-9592650022427.314
_,_,_,150.0000022352,60090367288228.05
_,_,_,150.0000022352,-44044858115591.625
_,_,_,150.0000022352,-27517202290306.945
_,_,_,150.0000022352,42738407140105.71
_,_,_,150.0000022352,-34743571070549.582
_,_,_,150.0000022352,-5923401702237.134
_,_,_,150.0000022352,25498466691434.32
_,_,_,150.0000022352,851806788220.1808
_,_,_,150.0000022352,1190631409736.0774
_,_,_,149.378808598,-50953822270520.086
_,_,_,100.0000014901,13753089034456.055
_,_,_,100.0000014901,-72246604637431.47
_,_,_,100.0000014901,-61997196876851.25
_,_,_,100.0000014901,17389278309282.6
_,_,_,100.0000014901,-27669508193246.2
_,_,_,100.0000014901,57867118572726.984
_,_,_,100.0000014901,-40549430473796.4
_,_,_,100.0000014901,-46258369830538.35
_,_,_,100.0000014901,13922396532959.17
_,_,_,100.0000014901,29891928842228.27
_,_,_,100.0000014901,23741760575481.496
_,_,_,100.0000014901,2455723181189.534
_,_,_,149.3751474346,40414018016102.9
_,_,_,150.0000022352,28646959929961.656
_,_,_,150.0000022352,45909700293211.6
_,_,_,150.0000022352,-5512169914765.664
_,_,_,150.0000022352,-37617567918005.74
_,_,_,150.0000022352,-11063867687962.502
_,_,_,150.0000022352,-12941737344026.777
_,_,_,150.0000022352,28178499692331.945
_,_,_,150.0000022352,-5102679269625.126
_,_,_,150.0000022352,-2338064292416.591
_,_,_,51.2497103554,-41056138461918.64
_,_,_,50.0000007451,-21240443343675.246
_,_,_,50.0000007451,41540886680507.195
_,_,_,50.0000007451,-11777899845576.984
_,_,_,50.0000007451,-20894088495624.06
_,_,_,50.0000007451,-14576276326260.902
_,_,_,50.0000007451,-35707027744877.72
_,_,_,50.0000007451,-13590784784428.137
_,_,_,50.0000007451,-23968106570272.29
_,_,_,50.0000007451,-1118881467877.2148
_,_,_,50.0000007451,-10490733012187.318
_,_,_,50.0000007451,-31286689528094.76
_,_,_,50.0000007451,-20102802966773.83
_,_,_,50.0000007451,-26601854584483.16
_,_,_,50.0000007451,-35723605341928.984
_,_,_,99.3751466773,-9945231027348.086
_,_,_,100.0000014901,33950878668226.12
_,_,_,100.0000014901,-3846742885902.7607
_,_,_,100.0000014901,23103135964750.668
_,_,_,100.0000014901,-12178239237013.309
_,_,_,100.0000014901,8370705201770.898
_,_,_,100.0000014901,-1236226566096.904
_,_,_,100.0000014901,-58416897177070.65
_,_,_,100.0000014901,56937923395740.48
_,_,_,100.0000014901,-24278022858766.887
_,_,_,100.0000014901,-57572353766475.13
_,_,_,100.0000014901,-27270711551984.06
_,_,_,98.7576142035,-27371567666699.46
_,_,_,0.0,19841758102680.43
_,_,_,0.0,-42928314246378.375
_,_,_,49.3751459369,-11539168163245.564
_,_,_,50.0000007451,24697215032245.008
_,_,_,50.0000007451,57170204857640.87
_,_,_,50.0000007451,-18937930864597.543
_,_,_,50.0000007451,-11416496760119.578
_,_,_,50.0000007451,-2270126323154.8623
_,_,_,50.0000007451,-31275185852302.688
_,_,_,50.0000007451,17351764749538.42
_,_,_,50.0000007451,-8059747245870.658
_,_,_,50.0000007451,21041353218152.89
_,_,_,50.0000007451,-17809144099470.473
_,_,_,50.0000007451,-45316883819068.234
_,_,_,50.0000007451,-4077283870252.782
_,_,_,50.0000007451,-30246851941674.625
_,_,_,50.0000007451,-5010959944883.308
_,_,_,150.0000022352,12134370712164.752
_,_,_,150.0000022352,12022334713777.518
_,_,_,150.0000022352,17820545696913.84
_,_,_,150.0000022352,-17017686954662.143
_,_,_,150.0000022352,37109027897434.83
_,_,_,150.0000022352,48942851678805.875
_,_,_,150.0000022352,-801776387179.416
_,_,_,150.0000022352,-39272825064100.25
_,_,_,150.0000022352,554398305999.5969
_,_,_,100.6248563059,599940889815.0968
_,_,_,100.0000014901,13896347200795.373
_,_,_,100.0000014901,-19800740965362.812
_,_,_,100.0000014901,-637840909620.1991
_,_,_,100.0000014901,51510696478177.35
_,_,_,100.0000014901,-3814919021238.2485
_,_,_,100.0000014901,13791532244134.316
_,_,_,100.0000014901,-13855636069127.256
_,_,_,100.0000014901,-31497793455076.504
_,_,_,100.0000014901,-31526349834967.293
_,_,_,100.0000014901,-30962188615646.996
_,_,_,100.0000014901,16141733399631.732
_,_,_,99.3788078438,-2876534957005.1387
_,_,_,50.0000007451,63957271695901.45
_,_,_,50.0000007451,-8427059601789.618
_,_,_,50.0000007451,12238358232657.404
_,_,_,50.0000007451,17091775566452.963
_,_,_,50.0000007451,3052376865517.1934
_,_,_,50.0000007451,9103020175042.809
_,_,_,50.0000007451,-16470109872698.73
_,_,_,50.0000007451,-3919869625171.6113
_,_,_,50.0000007451,-29648770584454.754
_,_,_,50.0000007451,30976892251174.67
_,_,_,50.0000007451,32155426887861.523
_,_,_,50.0000007451,-99645602291.26671
_,_,_,50.0000007451,15006959307492.44
_,_,_,50.0000007451,60038743353667.766
_,_,_,51.2423880255,20285987353971.48
_,_,_,150.0000022352,-27628738991688.844
_,_,_,150.0000022352,46322853612607.305
_,_,_,150.0000022352,40619090241505.59
_,_,_,150.0000022352,-19389452740764.363
_,_,_,150.0000022352,24148600743525.79
_,_,_,150.0000022352,-46101676547238.63
_,_,_,150.0000022352,10217610460012.67
_,_,_,150.0000022352,28306077135994.86
_,_,_,150.0000022352,-4636402995832.484
_,_,_,149.378808598,-29011406543755.516
_,_,_,100.0000014901,-25934103722649.984
_,_,_,100.0000014901,-39490912242366.82
_,_,_,100.0000014901,-40839795327748.63
_,_,_,100.0000014901,18628736383721.24
_,_,_,100.0000014901,-40885756550400.58
_,_,_,100.0000014901,64564436113663.19
_,_,_,100.0000014901,-6566827510720.2705
_,_,_,100.0000014901,-17788012291542.195
_,_,_,100.0000014901,-9616653716090.344
_,_,_,100.0000014901,64075800986706.234
_,_,_,100.0000014901,3389910771674.1973
_,_,_,100.0000014901,-32366642748609.91
_,_,_,149.3751474346,-11362000972434.41
_,_,_,150.0000022352,42471510375256.97
_,_,_,150.0000022352,-9672032070657.576
_,_,_,150.0000022352,-16015150690067.393
_,_,_,150.0000022352,3984010433602.6606
_,_,_,150.0000022352,-5762677051737.122
_,_,_,150.0000022352,4000922057053.8384
_,_,_,150.0000022352,53772433432.567795
_,_,_,150.0000022352,-4097954875347.966
_,_,_,150.0000022352,50219433536444.78
_,_,_,51.2497103554,34889263945414.016
_,_,_,50.0000007451,-22461827343410.574
